full_address,council_area,property_type,development_zone_base,property_count,lot_size
4 BRENTWOOD AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
39 RIVER STREET,YARRA,UNIT,Commercial 1 Zone,1,Small
39 POWER STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 WHITTAKER STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
388 MORELAND ROAD,MERRI-BEK,UNIT,Residential Growth Zone,1,Small
38 WINDELLA QUADRANT,MANNINGHAM,UNIT,General Residential Zone,1,Small
1108 BURKE ROAD,BOROONDARA,UNIT,General Residential Zone,1,Small
38 XAVIER STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
38 YAMBLA STREET,YARRA,UNIT,Neighbourhood Residential Zone,1,Small
110 WILTSHIRE DRIVE,BOROONDARA,UNIT,General Residential Zone,1,Small
110 WESTBURY STREET,PORT PHILLIP,UNIT,General Residential Zone,1,Small
110 WELLS STREET,MELBOURNE,UNIT,Mixed Use Zone,1,Small
380 RIVERSDALE ROAD,BOROONDARA,UNIT,Residential Growth Zone,1,Small
380 WAVERLEY ROAD,STONNINGTON,UNIT,General Residential Zone,1,Small
110 TEMPLESTOWE ROAD,MANNINGHAM,UNIT,General Residential Zone,1,Small
382 ALBERT STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
382 GLENFERRIE ROAD,STONNINGTON,UNIT,General Residential Zone,1,Small
382 MALVERN ROAD,STONNINGTON,UNIT,Mixed Use Zone,1,Small
383 GLENFERRIE ROAD,STONNINGTON,UNIT,General Residential Zone,1,Small
383 HIGH STREET,BOROONDARA,HOUSE,General Residential Zone,1,Small
383 MORELAND ROAD,MERRI-BEK,UNIT,General Residential Zone,1,Small
384 MALVERN ROAD,STONNINGTON,UNIT,Mixed Use Zone,1,Small
110 ROSS STREET,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
385 REYNARD STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
110 RIVER ESPLANADE,MELBOURNE,UNIT,Docklands Zone,1,Small
386 GRAHAM STREET,PORT PHILLIP,HOUSE,Neighbourhood Residential Zone,1,Small
386 REYNARD STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
388 GORE STREET,YARRA,UNIT,Mixed Use Zone,1,Small
38 WILTSHIRE DRIVE,BOROONDARA,UNIT,General Residential Zone,1,Small
38 WILSON STREET,STONNINGTON,UNIT,Activity Centre Zone,1,Small
38 WILLIAMSON ROAD,MARIBYRNONG,UNIT,Comprehensive Development Zone,1,Small
38 SYLVIA STREET,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
38 ROBERT STREET,MANNINGHAM,HOUSE,General Residential Zone,1,Small
38 SAMBELL STREET,MELBOURNE,UNIT,General Residential Zone,1,Small
38 SCOTIA STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
38 SELWYN AVENUE,PORT PHILLIP,UNIT,General Residential Zone,1,Small
38 SMITH STREET,YARRA,HOUSE,Commercial 1 Zone,1,Small
38 SOMERLAYTON CRESCENT,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
38 ST CLEMS ROAD,MANNINGHAM,UNIT,General Residential Zone,1,Small
38 STRELDON AVENUE,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
38 SUMMERHILL ROAD,MARIBYRNONG,UNIT,General Residential Zone,1,Small
38 SYDNEY STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
38 TENNYSON STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,1,Small
38 WHARTON STREET,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
38 THOMPSON STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
38 VERBENA CRESCENT,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
38 VICTOR AVENUE,GREATER DANDENONG,HOUSE,Neighbourhood Residential Zone,1,Small
38 VICTORIA STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,1,Small
38 VIEW STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
38 WARWICK ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
111 BEACH STREET,PORT PHILLIP,UNIT,Residential Growth Zone,1,Small
38 WAVE STREET,PORT PHILLIP,UNIT,General Residential Zone,1,Small
111 BARKERS ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
111 ASHWORTH STREET,PORT PHILLIP,HOUSE,Neighbourhood Residential Zone,1,Small
110 NIMMO STREET,PORT PHILLIP,FLATS,Neighbourhood Residential Zone,1,Small
110 MORAY STREET,PORT PHILLIP,UNIT,Commercial 2 Zone,1,Small
110 ARGYLE STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
110 MELON STREET,MARIBYRNONG,HOUSE,General Residential Zone,1,Small
39 JOY PARADE,GREATER DANDENONG,UNIT,Residential Growth Zone,1,Small
110 CHURCH ROAD,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
39 KINGSTON ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
110 CAMERA WALK,MERRI-BEK,UNIT,General Residential Zone,1,Small
39 LANDELLS ROAD,MERRI-BEK,UNIT,General Residential Zone,1,Small
39 LITTLE DRYBURGH STREET SOUTH,MELBOURNE,UNIT,Mixed Use Zone,1,Small
39 MANNINGHAM ROAD,MANNINGHAM,UNIT,Residential Growth Zone,1,Small
39 MAY STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
39 MELBOURNE AVENUE,MERRI-BEK,UNIT,General Residential Zone,1,Small
39 METUNG STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
39 MIDLOTHIAN STREET,STONNINGTON,UNIT,General Residential Zone,1,Small
39 MONT ALBERT ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
39 MOODEMERE STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
39 MORRAH STREET,MELBOURNE,UNIT,General Residential Zone,1,Small
39 MUNRO AVENUE,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
39 NAMUR STREET,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
39 NOCKOLDS CRESCENT,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
39 OAKWOOD AVENUE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
39 OXFORD STREET,BOROONDARA,UNIT,General Residential Zone,1,Small
39 OXLEY ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
39 PALMERSTON STREET,MELBOURNE,UNIT,Residential Growth Zone,1,Small
110 BARKERS ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
39 PARSONS AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
110 DEAN STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
39 HOPE STREET,MELBOURNE,UNIT,Neighbourhood Residential Zone,1,Small
39 HILLSIDE AVENUE,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
39 CALLANTINA ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
389 AUBURN ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
389 HEIDELBERG-WARRANDYTE ROAD,MANNINGHAM,HOUSE,Neighbourhood Residential Zone,1,Small
39 ALBERT AVENUE,GREATER DANDENONG,UNIT,Residential Growth Zone,1,Small
39 ALEX SCOTT WAY,GREATER DANDENONG,UNIT,Comprehensive Development Zone,1,Small
110 LAKE VIEW BOULEVARD,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
39 BELLETT STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
39 BISHOP STREET,MARIBYRNONG,HOUSE,General Residential Zone,1,Small
110 KEPPEL STREET,MELBOURNE,UNIT,Residential Growth Zone,1,Small
39 BOYD STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
110 KELVINSIDE ROAD,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
110 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,1,Small
39 HERBERT STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
39 CAVALRY CIRCUIT,MARIBYRNONG,UNIT,Comprehensive Development Zone,1,Small
39 CHAPMAN AVENUE,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
39 CUTTER STREET,YARRA,UNIT,General Residential Zone,1,Small
39 DARLING ROAD,STONNINGTON,HOUSE,General Residential Zone,1,Small
110 GOWRIE STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
39 ELLIS STREET,STONNINGTON,HOUSE,Activity Centre Zone,1,Small
39 FIFTH AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
39 GLADSTONE PARADE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
39 GRACE STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
39 HEMMINGS STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,1,Small
4 CUMBERLAND AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 CYPRESS GROVE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 DARKE ROAD,PORT PHILLIP,UNIT,Capital City Zone,1,Small
4 RAVENS GROVE,PORT PHILLIP,UNIT,General Residential Zone,1,Small
4 NOLA STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
4 NORMAN STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 ODESSA STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,1,Small
4 ORANA WAY,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
4 ORANGE GROVE,MOONEE VALLEY,HOUSE,General Residential Zone,1,Small
4 OSMENT STREET,STONNINGTON,UNIT,Mixed Use Zone,1,Small
4 PARKHILL COURT,MANNINGHAM,HOUSE,General Residential Zone,1,Small
4 PATTISON STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,1,Small
11 ST GEORGES GROVE,MELBOURNE,UNIT,General Residential Zone,1,Small
4 PECK WALK,YARRA,UNIT,Mixed Use Zone,1,Small
4 PENNINGTON STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
4 PERIWINKLE PLACE,STONNINGTON,UNIT,Mixed Use Zone,1,Small
4 PERKIN AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 PHILLIP AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 POA COURT,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 POBLE WALK,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
11 ST ANTHONYS PLACE,BOROONDARA,UNIT,General Residential Zone,1,Small
4 PRETORIA STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 QUICK STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
11 SOMERS AVENUE,STONNINGTON,UNIT,General Residential Zone,1,Small
4 RAILWAY PLACE,BOROONDARA,UNIT,General Residential Zone,1,Small
4 RAITH COURT,PORT PHILLIP,UNIT,General Residential Zone,1,Small
4 RANKINS LANE,MELBOURNE,UNIT,Capital City Zone,1,Small
4 NOCKOLDS CRESCENT,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
4 NITHSDALE ROAD,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 NATHAN PLACE,STONNINGTON,UNIT,Neighbourhood Residential Zone,1,Small
4 MERYL STREET,MANNINGHAM,HOUSE,General Residential Zone,1,Small
4 MARAMA STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 MARINE PARADE,PORT PHILLIP,UNIT,General Residential Zone,1,Small
4 MARKET LANE,MOONEE VALLEY,HOUSE,Activity Centre Zone,1,Small
11 STONEWOOD CIRCUIT,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 MARSHALL AVENUE,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 MARTHAS LANE,STONNINGTON,UNIT,General Residential Zone,1,Small
4 MARY MOODIE WAY,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 MATILDA DRIVE,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
4 MCFARLANE STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
4 MCLACHLAN STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 MIDDLESEX ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 MYRTLE STREET,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
4 MILAN STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 MILFAY COURT,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
4 MITCHELL COURT,MERRI-BEK,UNIT,General Residential Zone,1,Small
11 STAN STREET,YARRA,UNIT,Mixed Use Zone,1,Small
4 MONTAGUE AVENUE,PORT PHILLIP,HOUSE,Neighbourhood Residential Zone,1,Small
4 MOODEMERE STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 MORELLO CIRCLE,MANNINGHAM,HOUSE,Residential Growth Zone,1,Small
4 MORGAN STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 MORRIS STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 MYOORA ROAD,STONNINGTON,UNIT,General Residential Zone,1,Small
4 RATHDOWNE STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 REFUGE CLOSE,MANNINGHAM,HOUSE,General Residential Zone,1,Small
4 DARRYL STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 REPTON ROAD,STONNINGTON,UNIT,General Residential Zone,1,Small
4 STURROCK STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
4 SWALLOW LANE,MARIBYRNONG,UNIT,Activity Centre Zone,1,Small
4 SWEYN STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 TATE STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
11 SCOTCH CIRCUIT,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 THE BOULEVARDE,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 THE CRESCENT,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,1,Small
4 TRAWALLA AVENUE,STONNINGTON,UNIT,General Residential Zone,1,Small
4 TUDOR STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 TURNER COURT,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 TYNDALL STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 VELVET ROAD,PORT PHILLIP,UNIT,Capital City Zone,1,Small
4 VICTOR AVENUE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
11 SAGE STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 VICTORIA TERRACE,STONNINGTON,UNIT,Activity Centre Zone,1,Small
4 VIOLET COURT,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 VIVA STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,1,Small
4 WALDEN STREET,MARIBYRNONG,HOUSE,General Residential Zone,1,Small
11 SADIE STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 WARBURTON ALLEY,MELBOURNE,UNIT,Capital City Zone,1,Small
4 WATSON GROVE,MARIBYRNONG,UNIT,Neighbourhood Residential Zone,1,Small
4 WEST ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
11 SABINE AVENUE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
4 STUDLEY AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 STRATFORD STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
11 SECOND AVENUE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
4 SELWYN COURT,STONNINGTON,UNIT,General Residential Zone,1,Small
4 RETREAT DRIVE,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
4 RICHARD STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 ROMFORD COURT,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 ROWLAND STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 RUBY WAY,MARIBYRNONG,HOUSE,General Residential Zone,1,Small
4 SANDY COURT,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
4 SCHEELE STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 SEACOMBE STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 SEGTOUNE STREET,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
4 SELL STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 SENTINEL WAY,MANNINGHAM,UNIT,Residential Growth Zone,1,Small
4 STAN STREET,YARRA,HOUSE,Mixed Use Zone,1,Small
4 SERLE LANE,BOROONDARA,UNIT,Residential Growth Zone,1,Small
4 SHEPHERD STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 SOUDAN STREET,MERRI-BEK,HOUSE,General Residential Zone,1,Small
4 SPENCER ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 SPRAY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,1,Small
4 ST ANTHONYS PLACE,BOROONDARA,HOUSE,General Residential Zone,1,Small
4 ST BERNARDS ROAD,YARRA,UNIT,Neighbourhood Residential Zone,1,Small
4 ST GEORGES COURT,STONNINGTON,UNIT,General Residential Zone,1,Small
4 ST LEONARDS ROAD,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
4 ST MALO STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,1,Small
4 MAPLE GROVE,STONNINGTON,UNIT,General Residential Zone,1,Small
4 MANNA GUM COURT,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 MALCOLM CRESCENT,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 MAGAZINE WAY,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 FORSTER COURT,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 FRANKLIN ROAD,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 GAETANA STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
11 TRAWALLA AVENUE,STONNINGTON,UNIT,General Residential Zone,1,Small
4 GARDEN COURT,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,1,Small
4 GARDNER STREET,YARRA,UNIT,General Residential Zone,1,Small
4 GARRYOWEN LANE,YARRA,UNIT,Mixed Use Zone,1,Small
4 GATEHOUSE LANE,PORT PHILLIP,HOUSE,Commercial 1 Zone,1,Small
4 GATEHOUSE PLACE,MARIBYRNONG,UNIT,Comprehensive Development Zone,1,Small
4 GEAR STREET,MERRI-BEK,UNIT,Mixed Use Zone,1,Small
4 GILBERTSON STREET,MOONEE VALLEY,HOUSE,General Residential Zone,1,Small
4 GLASS STREET,YARRA,UNIT,General Residential Zone,1,Small
4 GLEN IRIS ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
11 TOLLINGTON AVENUE,STONNINGTON,UNIT,General Residential Zone,1,Small
4 GLENCAIRN AVENUE,BOROONDARA,UNIT,General Residential Zone,1,Small
4 GLENLUSS STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 GORDON COURT,MERRI-BEK,HOUSE,General Residential Zone,1,Small
4 GRATTAN STREET,BOROONDARA,UNIT,General Residential Zone,1,Small
4 GRAVES STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
4 GREENDALE ROAD,MANNINGHAM,HOUSE,General Residential Zone,1,Small
11 TEAGUE CRESCENT,MARIBYRNONG,HOUSE,General Residential Zone,1,Small
4 HAKEA PLACE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 HALLEY AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 FORDHAM AVENUE,BOROONDARA,UNIT,General Residential Zone,1,Small
4 FODEN STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
11 TREESBANK AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 EARL STREET,STONNINGTON,UNIT,Activity Centre Zone,1,Small
4 DAVID STREET,YARRA,HOUSE,Mixed Use Zone,1,Small
4 DAWN AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 DERBY STREET,MELBOURNE,UNIT,General Residential Zone,1,Small
4 DERRY STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
4 DIANELLA WALKWAY,MERRI-BEK,UNIT,Mixed Use Zone,1,Small
4 DIANNE STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
11 ULMARA PARKWAY,MARIBYRNONG,UNIT,Mixed Use Zone,1,Small
4 DILLON STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 DOCKER STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,1,Small
4 DOONBRAE AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 EGAN DRIVE,MANNINGHAM,UNIT,General Residential Zone,1,Small
11 TREVANNION STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 ELIZABETH STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 ELLIN STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 EMERALD WAY,PORT PHILLIP,UNIT,Commercial 2 Zone,1,Small
11 TRUSCOTT STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 ETHEL STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 EVA STREET,STONNINGTON,UNIT,General Residential Zone,1,Small
4 EYRE STREET,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
4 FADDEN STREET,GREATER DANDENONG,HOUSE,General Residential Zone,1,Small
4 FAIRVIEW STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 FINCHLEY AVENUE,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 HALSBURY CLOSE,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 HARRY STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
11 TALFORD STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 LEIGHTON COURT,STONNINGTON,UNIT,Neighbourhood Residential Zone,1,Small
4 KAYE COURT,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 KEENAN COURT,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
4 KEMBLA STREET,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
4 KENLEIGH GROVE,STONNINGTON,UNIT,General Residential Zone,1,Small
4 KEON COURT,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
11 SWALLOW LANE,MARIBYRNONG,HOUSE,Activity Centre Zone,1,Small
11 SUNLIGHT ROAD,PORT PHILLIP,HOUSE,Capital City Zone,1,Small
11 STURROCK STREET,MERRI-BEK,UNIT,Residential Growth Zone,1,Small
4 LAURA PLACE,YARRA,UNIT,General Residential Zone,1,Small
4 LAWRENCE STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 LEVIEN LANE,MARIBYRNONG,UNIT,Activity Centre Zone,1,Small
4 JOLLEY STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 LEX GROVE,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 LINTON STREET,PORT PHILLIP,HOUSE,General Residential Zone,1,Small
4 LISSON GROVE,BOROONDARA,UNIT,General Residential Zone,1,Small
4 LITTLE BENDALL STREET,MELBOURNE,UNIT,General Residential Zone,1,Small
11 STUART STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,1,Small
4 LOCKINGTON CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 LODGE ROAD,BOROONDARA,UNIT,General Residential Zone,1,Small
4 LOUIS STREET,STONNINGTON,UNIT,General Residential Zone,1,Small
4 LYNE GROVE,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
4 MACROBERTSONS CLOSE,YARRA,HOUSE,Mixed Use Zone,1,Small
4 KAY STREET,MELBOURNE,HOUSE,General Residential Zone,1,Small
4 JEPSON STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 HARVEST COURT,MANNINGHAM,UNIT,General Residential Zone,1,Small
4 HOPETOUN AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
11 TALBOT STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 HERMIONE AVENUE,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 HIGH STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 HIGHBURY STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 HIGHFIELD ROAD,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
4 HILLSIDE CRESCENT,MARIBYRNONG,UNIT,General Residential Zone,1,Small
11 TALBOT CRESCENT,STONNINGTON,HOUSE,Neighbourhood Residential Zone,1,Small
4 HOLBERG STREET,MOONEE VALLEY,UNIT,General Residential Zone,1,Small
4 HOLTOM STREET EAST,YARRA,HOUSE,Neighbourhood Residential Zone,1,Small
4 HOOKER AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 HOPKINS STREET,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 JELF COURT,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
11 SWAN STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 HOWDEN CRESCENT,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 HUDSON COURT,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
4 HYDE STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,1,Small
4 ILLAWARRA STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
4 INGHAM STREET,MERRI-BEK,HOUSE,General Residential Zone,1,Small
4 INKERMAN STREET,MARIBYRNONG,UNIT,General Residential Zone,1,Small
4 IRELANDS LANE,BOROONDARA,HOUSE,Neighbourhood Residential Zone,1,Small
4 JACKS PLACE,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
4 JASON COURT,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
44 NAPIER STREET,PORT PHILLIP,UNIT,General Residential Zone,1,Small
44 NEVIS STREET,BOROONDARA,HOUSE,General Residential Zone,1,Small
44 NOBLE STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,1,Small
5 LEONARD COURT,MANNINGHAM,UNIT,General Residential Zone,1,Small
5 HUGHES CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
5 HUME STREET,BOROONDARA,UNIT,General Residential Zone,1,Small
5 ILLAWARRA ROAD,BOROONDARA,UNIT,General Residential Zone,1,Small
107 KERR STREET,YARRA,HOUSE,Neighbourhood Residential Zone,1,Small
5 JINDABYNE AVENUE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,1,Small
5 JJ TULLY DRIVE,MANNINGHAM,UNIT,General Residential Zone,1,Small
5 JOAN COURT,GREATER DANDENONG,UNIT,General Residential Zone,1,Small
5 JOLLEY STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
5 KALMIA MEWS,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,1,Small
5 KAMPMAN STREET,MANNINGHAM,UNIT,General Residential Zone,1,Small
5 KENEALLY STREET,GREATER DANDENONG,UNIT,Comprehensive Development Zone,1,Small
5 KENNEDY STREET,MERRI-BEK,UNIT,General Residential Zone,1,Small
5 KENT STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,1,Small
