full_address,council_area,property_type,development_zone_base,property_count,lot_size
1 GROSVENOR STREET,MANNINGHAM,UNIT,Activity Centre Zone,105,Large
181 FITZROY STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,104,Large
73 RIVER STREET,YARRA,UNIT,Commercial 1 Zone,104,Large
77 HOBSONS ROAD,MELBOURNE,UNIT,Mixed Use Zone,103,Large
77 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,103,Large
33 CLARKE STREET,PORT PHILLIP,HOUSE,Neighbourhood Residential Zone,103,Large
118 DUDLEY STREET,MELBOURNE,UNIT,Mixed Use Zone,103,Large
108 HAINES STREET,MELBOURNE,UNIT,Mixed Use Zone,102,Large
163 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,102,Large
68 WESTS ROAD,MARIBYRNONG,UNIT,Mixed Use Zone,101,Large
280 SPENCER STREET,MELBOURNE,UNIT,Capital City Zone,100,Large
29 MARKET STREET,MELBOURNE,UNIT,Capital City Zone,99,Large
450 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,99,Large
318 LITTLE LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,99,Large
33 JEFFCOTT STREET,MELBOURNE,UNIT,Mixed Use Zone,98,Large
325 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,98,Large
2 WESTS ROAD,MARIBYRNONG,UNIT,Mixed Use Zone,98,Large
65 STABLES CIRCUIT,MANNINGHAM,UNIT,Residential Growth Zone,97,Large
570 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,97,Large
8 GROSVENOR STREET,YARRA,UNIT,Commercial 1 Zone,96,Large
609 VICTORIA STREET,YARRA,UNIT,Priority Development Zone,96,Large
33 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,96,Large
360 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,95,Large
300 SWANSTON STREET,MELBOURNE,UNIT,Capital City Zone,95,Large
240 BARKLY STREET,PORT PHILLIP,UNIT,General Residential Zone,95,Large
14 ELIZABETH STREET,STONNINGTON,UNIT,General Residential Zone,94,Large
31 GRATTAN STREET,STONNINGTON,UNIT,Activity Centre Zone,94,Large
495 RATHDOWNE STREET,MELBOURNE,UNIT,Residential Growth Zone,94,Large
8 WELLS STREET,MELBOURNE,UNIT,Mixed Use Zone,93,Large
25 COVENTRY STREET,MELBOURNE,UNIT,Mixed Use Zone,93,Large
327 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,93,Large
6 ACACIA PLACE,YARRA,UNIT,Commercial 1 Zone,92,Large
632 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,92,Large
42 BALSTON STREET,MELBOURNE,UNIT,Capital City Zone,92,Large
83 FLEMINGTON ROAD,MELBOURNE,UNIT,Mixed Use Zone,92,Large
221 STURT STREET,MELBOURNE,HOUSE,Capital City Zone,91,Large
51 GORDON STREET,MARIBYRNONG,UNIT,Mixed Use Zone,91,Large
26 SOUTHGATE AVENUE,MELBOURNE,UNIT,Capital City Zone,90,Large
90 BUCKLEY STREET,MARIBYRNONG,UNIT,Activity Centre Zone,90,Large
89 GLADSTONE STREET,PORT PHILLIP,UNIT,Capital City Zone,90,Large
146 BELL STREET,MERRI-BEK,UNIT,Activity Centre Zone,89,Large
28 SOUTHGATE AVENUE,MELBOURNE,UNIT,Capital City Zone,89,Large
131 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,88,Large
594 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,87,Large
52 PARK STREET,PORT PHILLIP,UNIT,Mixed Use Zone,87,Large
800 CHAPEL STREET,STONNINGTON,UNIT,Activity Centre Zone,87,Large
71 RIVERSDALE ROAD,BOROONDARA,UNIT,Residential Growth Zone,87,Large
80 LORIMER STREET,MELBOURNE,UNIT,Docklands Zone,86,Large
68 CAMBRIDGE STREET,YARRA,UNIT,Mixed Use Zone,86,Large
58 VILLIERS STREET,MELBOURNE,UNIT,Mixed Use Zone,85,Large
51 RATHDOWNE STREET,MELBOURNE,UNIT,Mixed Use Zone,84,Large
601 LITTLE COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,83,Large
81 RIVERSDALE ROAD,BOROONDARA,UNIT,Commercial 1 Zone,83,Large
469 ST KILDA ROAD,MELBOURNE,UNIT,Commercial 1 Zone,83,Large
138 CAMBERWELL ROAD,BOROONDARA,UNIT,Commercial 1 Zone,83,Large
250 BARKLY STREET,MARIBYRNONG,UNIT,Activity Centre Zone,83,Large
7 YARRA STREET,STONNINGTON,UNIT,Activity Centre Zone,83,Large
582 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,82,Large
551 FLINDERS LANE,MELBOURNE,UNIT,Capital City Zone,82,Large
59 PAISLEY STREET,MARIBYRNONG,UNIT,Activity Centre Zone,82,Large
45 EDGEWATER BOULEVARD,MARIBYRNONG,UNIT,Comprehensive Development Zone,82,Large
268 FLINDERS STREET,MELBOURNE,UNIT,Capital City Zone,82,Large
253 BRIDGE ROAD,YARRA,UNIT,Commercial 1 Zone,81,Large
28 BANK STREET,PORT PHILLIP,UNIT,Mixed Use Zone,81,Large
83 QUEENS ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,81,Large
377 BURWOOD ROAD,BOROONDARA,UNIT,Commercial 1 Zone,80,Large
123 PELHAM STREET,MELBOURNE,UNIT,Mixed Use Zone,80,Large
98 NICHOLSON STREET,YARRA,UNIT,Neighbourhood Residential Zone,80,Large
100 KEILOR ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,79,Large
35 WILSON STREET,STONNINGTON,UNIT,Activity Centre Zone,79,Large
