full_address,council_area,property_type,development_zone_base,land_size_group,suburb,property_count,lot_size
"20 HEPBURN ROAD, DONCASTER",MANNINGHAM,UNIT,Activity Centre Zone,large_area,DONCASTER,127,Large
"120 STURT STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,small_area,SOUTHBANK,126,Large
"499 ST KILDA ROAD, MELBOURNE",MELBOURNE,UNIT,Commercial 1 Zone,large_area,MELBOURNE,126,Large
"100 LORIMER STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,126,Large
"8 DORCAS STREET, SOUTHBANK",MELBOURNE,HOUSE,Mixed Use Zone,medium_area,SOUTHBANK,126,Large
"5 ELGAR COURT, DONCASTER",MANNINGHAM,UNIT,Activity Centre Zone,large_area,DONCASTER,126,Large
"8 EVERGREEN MEWS, ARMADALE",STONNINGTON,UNIT,Mixed Use Zone,large_area,ARMADALE,125,Large
"181 A'BECKETT STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,125,Large
"8 KAVANAGH STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,124,Large
"283 SPRING STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,124,Large
"81 A'BECKETT STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,124,Large
"1 BOUVERIE STREET, CARLTON",MELBOURNE,UNIT,Capital City Zone,medium_area,CARLTON,123,Large
"28 WILLS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,122,Large
"243 FRANKLIN STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,122,Large
"9 DRYBURGH STREET, WEST MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,medium_area,WEST MELBOURNE,121,Large
